Method,HV,Range,Sparsity,Time,HV,Range,Sparsity,Time,HV,Range,Sparsity,Time
PSL-EPO,0.05,0.04,0.08,2.03,0.13,0.06,0.25,0.91,0.01,0.01,0.02,0.56
PSL-LS,0.0,0.0,0.2,0.43,0.0,0.0,0.0,0.36,0.0,0.0,0.05,0.76
PSL-Tche,0.01,0.0,0.01,0.56,0.01,0.0,0.22,0.79,0.01,0.01,0.02,0.54
PSL-HV1,0.01,0.0,0.05,0.22,0.03,0.01,0.04,0.2,0.0,0.0,0.03,0.48
PSL-HV2,0.01,0.0,0.04,0.29,0.01,0.0,0.21,0.95,0.01,0.0,0.04,1.15
PSL-EPO,0.08,0.04,0.19,0.48,0.02,0.01,0.01,1.53,0.0,0.02,0.06,4.96
PSL-LS,0.03,0.01,8.69,0.06,0.0,0.0,0.08,0.12,0.0,0.0,0.31,1.21
PSL-Tche,0.01,0.0,0.04,0.49,0.02,0.01,0.02,1.71,0.0,0.01,0.02,2.99
PSL-HV1,0.0,0.0,0.19,1.32,0.01,0.0,0.03,0.38,0.02,0.02,1.41,1.18
PSL-HV2,0.01,0.0,0.13,0.15,0.0,0.0,0.01,1.79,0.0,0.0,0.11,1.42
PSL-EPO,0.01,0.01,0.03,15.46,1.34,0.08,0.1,1.12,0.01,0.02,0.71,24.21
PSL-LS,0.0,0.0,0.08,3.7,0.0,0.0,0.02,0.11,0.0,0.01,0.05,5.79
PSL-Tche,0.01,0.01,0.1,4.63,0.01,0.0,0.02,1.17,0.01,0.01,0.27,8.9
PSL-HV1,0.0,0.0,0.22,1.83,0.09,0.01,0.18,0.14,0.0,0.02,0.68,1.34
PSL-HV2,0.0,0.0,0.13,9.86,0.03,0.01,1.53,1.31,0.0,0.01,0.72,11.95
